rank,model,dataset,category,accuracy,recall_P,precision_P,f1_P,recall_macro,f1_macro,meets_95_target
1,Gradient Boosting,Original,Advanced,0.749309909,0.87,0.47,0.61,0.785836958,0.713168916,False
2,Random Forest,Original (102 features),RF+XGBoost,0.7560994756429502,0.8699052416936548,0.4813880628717077,0.6197943818208234,0.790609752339669,0.7206048914266665,False
3,Random Forest,Engineered (130 features),RF+XGBoost,0.7540344092291967,0.8695693894686338,0.4839002509745287,0.6217868997281141,0.7888036044878888,0.7196367407185198,False
