model,dataset,n_features,train_time,accuracy,precision_macro,recall_macro,f1_macro,recall_G,recall_F,recall_P,precision_P,f1_P
Random Forest,Original (102 features),102,351.946702003479,0.7560994756429502,0.6896638668366154,0.790609752339669,0.7206048914266665,0.7983605776104465,0.7035634377149056,0.8699052416936548,0.4813880628717077,0.6197943818208234
Random Forest,Engineered (130 features),130,421.96643352508545,0.7540344092291967,0.6885737402334996,0.7888036044878888,0.7196367407185198,0.79026244688924,0.7065789771057925,0.8695693894686338,0.48390025097452877,0.6217868997281141
Random Forest,SMOTE Balanced,102,202.43988227844238,0.744365925282725,0.6799875033742017,0.7657664936787363,0.7084853835360101,0.7886274236653115,0.6962215356004765,0.812450521770421,0.48648998060762766,0.6085714285714285
Random Forest,PCA (74 components),74,1627.0175275802612,0.7363347554362193,0.6693666748397745,0.7583328378895048,0.6975945863388234,0.783652700537798,0.6852764836356944,0.8060693294950222,0.46389717252043294,0.5888868442037558
XGBoost,SMOTE Balanced,102,91.70019030570984,0.7578569448872384,0.705773768740022,0.7586482100834439,0.7272658890683262,0.78893903123041,0.7306903777172948,0.7563152213026268,0.5631430408688196,0.6455886719429911
XGBoost,Original (102 features),102,155.33022022247314,0.7792701936740719,0.7880855597714941,0.7147398683250913,0.7435498434683075,0.7766690251082378,0.8116191896787192,0.5559313901883172,0.8040664793032858,0.6573624939721442
XGBoost,Engineered (130 features),130,193.1676344871521,0.7791981005874785,0.7882564013699147,0.7143744869843175,0.7433380891054667,0.776529718196782,0.8117418775768495,0.5548518651793211,0.8047948780402937,0.6568499375212996
XGBoost,PCA (74 components),74,192.90050721168518,0.7351428164045416,0.7397290064991692,0.6282558610913805,0.6616279230804041,0.7459225233614024,0.7757168363311152,0.3631282235816241,0.7455181245074862,0.48837697010759973
