model,source_key,n_tested,is_sampled,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
LogisticRegression,LogisticRegression,624193,False,0.6471027390566699,0.6767811270602723,0.6471027390566699,0.6517516063776446,0.5783582563472391,0.6750236425501791,0.5983645953902159
DecisionTree,DecisionTree,624193,False,0.9147587364805437,0.9149170360993117,0.9147587364805437,0.9147487203045864,0.8959841942033427,0.8994268305934067,0.8976338320926319
GaussianNB,GaussianNB,624193,False,0.48218579830276853,0.5728972445871532,0.48218579830276853,0.39856805623802316,0.47400963682072345,0.555083538064319,0.39519084832756635
KNN,KNN_sampled,20000,True,0.81915,0.8189198554983604,0.81915,0.8172735295180849,0.8163174363952702,0.7435089279411056,0.7717755966743476
